Age,Gender,Years at Company,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Distance from Home,Education Level,Number of Dependents,Job Level,Company Size,Company Tenure,Company Reputation,Employee Recognition,Attrition,Innovation Opportunities_No,Innovation Opportunities_Yes,Marital Status_Divorced,Marital Status_Married,Marital Status_Single,Job Role_Education,Job Role_Finance,Job Role_Healthcare,Job Role_Media,Job Role_Technology,Leadership Opportunities_No,Leadership Opportunities_Yes,Remote Work_No,Remote Work_Yes,Overtime_No,Overtime_Yes
39,1,1,8079,3,2,3,1,23,3,0,0,1,20,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
36,0,13,5874,1,2,2,0,16,0,1,1,1,40,2,2,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
54,0,5,4656,2,1,2,0,63,0,0,1,1,60,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1
48,0,9,4987,1,2,2,1,92,1,0,0,1,23,2,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
23,0,13,12507,1,2,3,0,86,0,1,1,1,83,2,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0
45,1,21,7571,2,3,2,1,30,1,1,0,0,67,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
48,0,32,3535,2,1,2,0,48,2,0,2,1,84,2,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
45,1,34,8330,3,2,2,0,58,2,4,1,1,91,2,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
24,0,11,6334,2,2,2,0,55,2,2,2,0,28,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1
42,0,1,8874,2,1,2,1,31,1,2,0,0,27,0,3,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
53,0,44,7364,0,1,2,1,92,1,0,1,0,55,2,2,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
39,0,22,5556,2,2,2,0,16,1,0,0,1,28,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
37,0,2,9293,2,2,1,0,55,2,0,1,0,54,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
37,0,6,7701,1,2,1,0,32,0,1,0,1,71,2,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1
31,0,18,5105,0,0,2,2,82,2,2,2,0,46,3,3,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0
37,0,9,8632,1,2,2,2,8,3,2,2,1,86,0,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
45,1,27,5315,2,2,2,2,74,1,4,0,0,70,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1
57,1,23,5938,3,3,2,2,3,3,3,1,1,47,2,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
42,1,2,6213,1,2,2,0,5,2,4,0,0,69,2,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
31,1,17,5956,1,0,2,0,76,2,4,0,0,27,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
56,1,22,6605,3,2,1,2,47,2,2,1,1,74,2,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
34,0,12,8274,2,3,1,0,67,2,1,0,1,36,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
56,0,7,9878,2,3,2,2,58,3,1,0,0,22,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
47,1,36,8442,1,0,3,1,84,1,0,0,1,67,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
25,1,2,6690,1,0,3,0,14,1,2,0,1,25,2,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
25,1,3,8397,3,2,1,0,36,2,3,0,0,49,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
36,0,8,9775,1,2,2,1,79,2,1,1,1,61,2,2,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1
41,0,28,5586,2,2,2,0,52,1,0,0,0,103,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
55,1,6,9355,1,3,2,0,44,2,3,2,0,64,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1
48,1,18,7976,1,2,3,0,32,0,2,1,0,71,2,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
21,0,11,6356,0,2,2,0,89,1,0,2,1,12,2,2,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
34,0,21,5967,1,0,2,1,39,2,0,1,0,39,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
28,1,12,10111,1,1,2,2,37,0,3,1,0,33,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
26,0,3,8673,3,2,2,0,64,1,1,0,2,57,2,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
47,0,22,5040,1,3,0,3,7,0,0,1,1,58,2,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
30,1,22,9894,0,0,2,1,87,1,2,0,0,65,3,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
24,0,13,6785,2,2,2,0,24,2,3,2,0,57,1,2,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0
23,1,2,7368,1,3,1,0,15,3,3,2,0,17,2,2,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
52,0,34,5154,1,1,2,0,16,0,2,1,0,83,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1
51,0,16,8407,2,3,2,1,63,2,1,0,0,66,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
50,0,21,4195,2,3,2,2,76,2,2,0,0,100,2,3,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
45,0,6,4451,1,2,2,0,81,0,2,0,2,65,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
31,1,11,10122,1,2,2,2,58,2,0,2,0,62,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
50,0,35,7303,2,2,1,1,48,0,1,0,1,84,0,2,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1
29,0,8,7946,0,3,2,0,75,1,1,1,1,17,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
27,0,14,6026,0,2,1,0,30,2,2,1,2,20,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
48,0,1,10135,0,2,0,0,13,2,3,0,0,72,2,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
47,0,24,8631,1,3,3,0,35,2,3,2,1,89,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
41,1,11,4431,0,3,3,0,8,1,2,2,1,80,3,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
53,1,2,3598,2,2,2,0,98,1,1,0,2,69,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1
37,1,2,7949,3,1,2,0,95,0,5,0,2,6,3,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
21,1,10,7967,1,2,2,0,44,3,1,2,2,64,1,2,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
53,1,23,8876,1,0,2,2,68,0,3,0,1,78,2,2,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1
45,1,28,6628,2,2,2,0,56,2,3,2,1,30,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
49,0,9,8340,2,2,3,1,73,2,0,0,2,77,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
37,0,22,10080,0,2,2,0,21,2,1,1,1,69,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
39,0,9,8860,2,1,1,0,26,2,1,1,1,61,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
27,0,17,5678,1,2,2,2,41,2,2,1,1,54,2,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
58,0,14,8683,0,2,2,2,34,2,0,2,2,87,2,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0
49,1,2,4042,2,2,1,0,29,1,2,0,1,58,2,2,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
54,0,24,9737,0,1,1,0,8,2,0,0,1,88,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
38,0,18,5246,2,2,3,0,84,3,2,1,1,20,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
19,1,1,10141,2,2,2,1,19,2,1,0,2,41,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
43,0,34,9033,2,2,1,1,50,0,1,0,1,97,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
30,0,10,5397,3,0,2,1,68,2,0,0,2,75,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
31,0,19,6135,2,2,3,0,41,4,0,0,1,88,2,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
47,0,28,7063,0,3,1,0,62,1,0,2,1,49,2,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
58,1,40,6940,2,2,3,0,49,2,1,2,2,67,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
40,0,17,4733,0,2,1,1,69,4,4,0,0,60,3,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
35,0,17,7625,2,2,3,0,26,2,0,1,2,31,2,2,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
31,1,2,6640,1,1,2,0,13,1,4,2,2,33,2,2,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
31,0,8,7287,3,1,3,2,33,3,0,0,0,69,3,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1
40,0,5,6993,1,1,2,0,57,0,0,0,2,75,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
49,1,22,12041,3,2,0,0,62,4,6,1,0,23,2,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
33,1,1,6534,1,0,2,1,21,3,4,0,0,12,2,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
52,0,15,7529,2,1,2,0,61,2,5,0,2,34,2,3,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
51,0,12,4421,2,2,2,1,62,3,0,0,1,14,2,2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
27,1,11,9197,2,2,3,0,53,0,2,2,2,35,2,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
58,0,6,8762,1,2,3,0,72,2,0,0,0,38,2,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
42,1,7,8744,2,1,3,1,41,0,3,0,0,71,2,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1
26,0,3,7406,2,0,0,3,91,1,0,0,1,57,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
37,1,7,6099,2,2,3,0,19,2,0,2,0,16,3,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
55,0,13,9626,2,2,2,2,27,2,0,2,0,81,2,2,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0
46,1,6,10298,1,2,2,0,47,2,0,0,1,84,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
41,0,2,8972,2,3,2,1,76,3,1,1,2,72,3,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
58,1,14,9501,1,1,2,1,56,2,4,0,2,52,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
40,1,22,4023,3,3,0,0,58,3,4,0,1,55,2,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
53,0,41,8332,0,2,1,0,24,3,4,0,1,47,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
46,1,9,4237,1,1,2,0,36,2,1,2,2,20,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
45,0,9,6437,1,2,3,1,53,1,4,1,1,31,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
56,0,32,6690,3,1,3,1,35,0,1,0,0,80,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
23,0,11,7038,2,1,2,0,74,1,0,0,2,55,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
55,0,40,9177,1,0,1,0,65,1,0,1,1,106,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
48,1,19,8761,2,2,1,0,75,0,3,0,1,90,0,3,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
47,0,24,5428,3,0,2,0,93,1,1,0,1,49,2,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
26,1,8,7859,2,1,2,4,44,0,5,2,0,35,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
21,0,4,10298,2,2,2,2,28,0,0,2,1,53,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
44,0,13,7430,2,0,2,1,23,1,3,1,1,73,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
24,0,2,4573,1,2,3,2,37,2,0,2,0,62,2,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
31,0,13,9434,2,3,1,0,76,2,0,1,1,83,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
45,1,24,4583,3,3,3,2,55,1,1,1,1,62,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
19,0,3,7979,1,1,0,1,46,0,2,0,1,27,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1
59,1,30,10166,3,2,2,1,32,1,1,0,1,37,2,2,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
50,0,35,5316,1,2,2,2,21,2,0,1,1,80,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
59,0,45,10030,2,0,2,2,64,0,3,1,2,52,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
54,0,2,8736,2,3,2,0,86,1,1,0,0,5,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
58,1,39,6929,1,2,3,0,56,1,3,0,2,76,0,2,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0
21,0,2,10167,1,2,3,0,54,1,2,1,1,65,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
51,0,16,9063,0,3,2,0,9,1,1,1,0,90,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
45,1,20,8926,3,2,2,4,89,0,1,2,0,80,2,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
30,1,15,3204,2,2,0,0,45,2,1,2,0,94,3,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
29,1,11,9306,1,2,2,0,51,3,2,0,2,45,3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
59,0,43,4862,2,0,2,0,28,1,1,1,0,119,2,2,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
35,1,26,7576,3,2,0,4,81,0,5,1,0,53,2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
40,1,29,11735,1,2,2,3,87,1,3,0,0,56,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
20,0,2,6453,3,1,2,0,51,1,0,0,0,62,2,2,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
50,0,18,7359,2,2,3,1,67,1,2,0,1,63,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
44,0,35,7838,1,2,2,1,19,1,4,2,0,53,3,2,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
20,1,3,10943,0,2,1,0,62,1,0,0,1,15,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
28,0,20,10513,2,2,2,0,73,2,1,1,1,94,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0
28,0,6,6669,2,3,3,0,39,4,3,1,2,41,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
36,0,17,8309,2,2,2,2,24,1,0,1,2,89,2,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
40,0,4,6426,1,2,2,0,13,2,1,0,1,10,3,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
56,1,46,8423,2,2,3,0,96,3,3,0,1,118,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
47,0,1,8723,2,3,3,2,73,0,1,2,0,32,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
21,0,13,9152,0,2,2,0,60,2,0,0,1,20,2,3,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
18,1,7,8546,0,3,3,0,94,0,1,2,0,64,1,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1
22,1,13,5797,3,3,1,0,78,4,4,0,0,49,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
52,0,19,3625,1,2,2,1,54,0,2,1,0,32,2,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
44,0,36,8048,1,3,2,2,72,0,3,1,1,57,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
42,0,26,4205,2,2,2,1,89,3,3,2,1,39,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
53,0,41,4373,1,2,2,2,91,3,4,1,1,53,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
22,0,2,6925,3,2,2,1,79,1,2,2,1,73,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0
50,0,38,8299,1,0,0,0,28,2,0,1,2,59,1,2,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
56,1,40,11556,2,1,2,2,1,4,2,1,0,66,3,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
42,0,10,5820,1,3,3,1,86,0,2,2,0,82,3,2,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1
18,0,6,7631,1,0,1,0,1,3,3,0,1,69,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
39,0,3,5891,2,0,2,2,88,0,4,1,0,9,2,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
22,1,9,8376,1,2,1,3,46,0,1,1,1,11,2,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
28,0,3,6185,1,2,2,0,51,1,0,1,1,62,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0
47,1,13,6467,2,2,1,2,25,2,2,0,1,82,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
56,1,6,6954,2,2,2,1,65,2,2,0,0,17,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0
51,1,33,7647,2,0,2,1,6,0,1,1,0,44,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
55,1,43,7440,0,1,3,0,1,0,0,0,0,97,2,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
56,0,38,8883,0,0,2,0,69,3,3,1,1,100,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
24,0,8,5652,2,2,3,0,76,0,1,2,0,23,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
26,0,5,7376,1,2,2,0,70,2,1,2,2,33,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
52,0,26,7306,2,0,2,0,19,0,3,0,0,35,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1
54,0,42,10006,2,2,1,0,75,3,1,2,0,93,2,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
45,0,6,11421,0,2,2,1,18,2,4,1,0,27,2,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0
20,0,9,8161,2,0,2,0,86,2,2,1,1,35,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
51,0,10,3755,2,2,2,0,61,0,0,0,1,26,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
51,0,22,5405,3,1,2,1,57,3,3,0,0,27,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
59,0,32,4113,3,2,3,0,48,3,3,0,1,82,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1
47,0,38,6008,1,3,2,0,12,0,0,1,0,49,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
58,0,2,6363,1,2,2,2,19,0,2,1,2,27,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
40,1,27,5980,2,1,3,0,35,4,2,1,0,52,2,2,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
45,1,10,5475,2,2,2,0,99,0,0,1,1,26,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
38,1,7,6160,2,2,2,2,53,2,4,0,1,24,2,2,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
29,0,9,6336,1,2,1,1,95,2,3,0,1,79,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0
41,1,29,6243,1,2,2,0,78,2,4,0,1,55,0,2,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0
38,0,14,5733,3,3,2,1,12,2,2,1,1,62,0,2,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
51,1,16,8988,2,2,1,1,94,0,1,0,0,36,2,2,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
38,1,22,5744,2,3,3,1,95,1,3,0,1,62,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
46,1,14,6555,3,2,2,0,4,3,0,1,0,92,2,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
53,0,23,7633,2,3,2,0,44,2,2,1,1,91,1,3,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
41,0,26,4724,2,3,2,1,7,2,2,2,1,80,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
28,0,4,9892,2,1,3,2,9,1,4,0,1,20,2,3,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
34,0,6,10220,2,0,1,1,97,1,1,0,0,41,2,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1
33,0,12,2386,0,1,2,1,73,2,0,1,1,64,2,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
38,0,25,10903,2,2,3,2,29,1,0,2,1,63,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
52,0,19,6139,1,3,2,2,68,3,0,0,0,92,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
19,0,11,4410,1,2,3,2,42,2,1,0,1,25,2,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1
46,0,17,6977,3,2,2,0,8,1,0,1,1,74,1,3,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
27,1,12,9249,1,0,2,0,32,2,0,0,2,22,0,3,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
59,0,40,8328,2,3,3,0,46,1,0,0,0,44,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
58,1,44,8331,1,1,3,2,38,1,1,1,0,117,2,3,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
50,0,42,7639,0,0,3,0,91,0,0,0,1,49,2,2,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
